epoch;batch;time;data;learning_rate;loss;pearson_correlation
1;15;0.281;0.001;7.4e-06;0.4892;0.559
1;16;0.281;0.0;7.9e-06;0.63226;0.565
1;17;0.277;0.0;8.4e-06;0.48381;0.569
1;18;0.28;0.0;8.9e-06;0.93818;0.563
1;19;0.282;0.001;9.4e-06;0.7205;0.566
1;20;0.278;0.001;9.9e-06;0.41708;0.577
1;21;0.278;0.001;1.03e-05;0.98269;0.57
1;22;0.28;0.001;1.08e-05;0.42856;0.575
1;23;0.283;0.001;1.13e-05;0.68341;0.574
1;24;0.279;0.001;1.18e-05;0.60055;0.575
1;25;0.277;0.0;1.23e-05;0.6943;0.58
1;26;0.282;0.0;1.28e-05;0.74743;0.574
1;27;0.28;0.001;1.33e-05;0.87115;0.57
1;28;0.279;0.0;1.38e-05;0.55692;0.574
1;29;0.278;0.001;1.43e-05;0.49293;0.58
1;30;0.28;0.001;1.48e-05;0.78334;0.58
1;31;0.283;0.0;1.53e-05;0.80258;0.575
1;32;0.279;0.001;1.58e-05;0.43337;0.579
1;33;0.281;0.001;1.63e-05;0.5472;0.586
1;34;0.278;0.0;1.67e-05;0.65476;0.589
1;35;0.28;0.0;1.72e-05;0.46062;0.593
1;36;0.28;0.0;1.77e-05;0.5326;0.596
1;37;0.279;0.001;1.82e-05;0.5132;0.597
1;38;0.28;0.0;1.87e-05;0.36454;0.601
1;39;0.283;0.001;1.92e-05;0.78575;0.599
1;40;0.279;0.001;1.97e-05;0.45754;0.601
1;41;0.279;0.0;2.02e-05;0.72283;0.597
1;42;0.28;0.0;2.07e-05;0.81279;0.594
1;43;0.282;0.001;2.12e-05;0.6387;0.592
1;44;0.28;0.0;2.17e-05;0.61945;0.594
1;45;0.278;0.0;2.22e-05;0.70146;0.592
1;46;0.281;0.0;2.27e-05;0.7128;0.592
1;47;0.282;0.0;2.32e-05;0.7909;0.591
1;48;0.28;0.001;2.36e-05;0.68646;0.592
1;49;0.278;0.001;2.41e-05;0.42418;0.594
1;50;0.282;0.001;2.46e-05;0.45808;0.597
1;51;0.278;0.001;2.51e-05;0.53835;0.597
1;52;0.282;0.001;2.56e-05;0.75685;0.597
1;53;0.277;0.001;2.61e-05;0.68665;0.598
1;54;0.283;0.001;2.66e-05;0.23904;0.605
1;55;0.28;0.0;2.71e-05;0.59767;0.606
1;56;0.285;0.0;2.76e-05;0.41236;0.607
1;57;0.273;0.001;2.81e-05;0.51915;0.61
1;58;0.282;0.0;2.86e-05;0.80396;0.606
1;59;0.28;0.001;2.91e-05;0.66835;0.606
1;60;0.278;0.001;2.96e-05;0.63936;0.607
1;61;0.278;0.001;3e-05;0.70531;0.606
1;62;0.28;0.0;3.05e-05;0.73235;0.605
1;63;0.283;0.001;3.1e-05;0.41645;0.608
1;64;0.277;0.001;3.15e-05;0.52733;0.611
1;65;0.279;0.0;3.2e-05;0.63523;0.611
1;66;0.281;0.001;3.25e-05;0.46587;0.611
1;67;0.284;0.0;3.3e-05;0.40103;0.614
1;68;0.279;0.001;3.35e-05;0.41684;0.616
1;69;0.275;0.001;3.4e-05;0.49985;0.615
1;70;0.282;0.001;3.45e-05;0.59401;0.616
1;71;0.283;0.0;3.5e-05;0.6193;0.617
1;72;0.281;0.0;3.55e-05;0.37006;0.62
1;73;0.274;0.001;3.6e-05;0.66417;0.619
1;74;0.278;0.001;3.65e-05;0.85943;0.617
1;75;0.283;0.0;3.69e-05;0.77267;0.616
1;76;0.278;0.0;3.74e-05;0.7824;0.614
1;77;0.28;0.001;3.79e-05;0.60575;0.615
1;78;0.28;0.001;3.84e-05;0.4192;0.616
1;79;0.28;0.0;3.89e-05;0.56881;0.617
1;80;0.28;0.001;3.94e-05;0.61441;0.617
1;81;0.281;0.0;3.99e-05;0.57682;0.616
1;82;0.279;0.001;4.04e-05;0.71369;0.615
1;83;0.282;0.0;4.09e-05;0.49612;0.616
1;84;0.282;0.001;4.14e-05;0.84559;0.614
1;85;0.281;0.001;4.19e-05;0.54053;0.614
1;86;0.279;0.001;4.24e-05;0.54877;0.616
1;87;0.279;0.0;4.29e-05;0.60095;0.616
1;88;0.28;0.0;4.33e-05;0.45435;0.616
1;89;0.28;0.001;4.38e-05;0.60523;0.617
1;90;0.28;0.0;4.43e-05;0.56404;0.619
1;91;0.279;0.001;4.48e-05;0.65512;0.618
1;92;0.283;0.001;4.53e-05;0.65715;0.618
1;93;0.281;0.0;4.58e-05;0.37877;0.619
1;94;0.283;0.001;4.63e-05;0.48025;0.619
1;95;0.277;0.001;4.68e-05;0.57556;0.621
1;96;0.28;0.0;4.73e-05;0.4051;0.622
1;97;0.281;0.001;4.78e-05;0.74319;0.622
1;98;0.277;0.0;4.83e-05;0.69577;0.622
1;99;0.284;0.0;4.88e-05;0.37334;0.624
1;100;0.275;0.001;4.93e-05;0.63739;0.624
1;101;0.279;0.001;4.98e-05;0.47978;0.625
1;102;0.278;0.001;5.02e-05;0.57783;0.626
1;103;0.28;0.0;5.07e-05;1.02567;0.624
1;104;0.281;0.001;5.12e-05;0.60962;0.625
1;105;0.281;0.001;5.17e-05;0.53681;0.625
1;106;0.269;0.001;5.22e-05;0.69519;0.624
1;107;0.288;0.001;5.27e-05;0.95347;0.622
1;108;0.283;0.001;5.32e-05;0.89892;0.621
1;109;0.278;0.001;5.37e-05;0.96031;0.619
1;110;0.278;0.001;5.42e-05;0.53472;0.619
1;111;0.28;0.0;5.47e-05;0.62383;0.619
1;112;0.285;0.001;5.52e-05;0.61395;0.619
1;113;0.283;0.0;5.57e-05;0.86717;0.617
1;114;0.279;0.0;5.62e-05;0.82385;0.616
1;115;0.28;0.001;5.67e-05;0.73182;0.616
1;116;0.284;0.001;5.71e-05;0.68611;0.616
1;117;0.281;0.001;5.76e-05;0.58332;0.615
1;118;0.28;0.001;5.81e-05;0.71379;0.614
1;119;0.281;0.0;5.86e-05;0.73483;0.614
1;120;0.278;0.001;5.91e-05;0.61203;0.614
1;121;0.279;0.001;5.96e-05;0.35459;0.615
