epoch;batch;time;loss;pearson_correlation
9;13;0.106;0.63968;0.589
9;14;0.106;0.70911;0.591
9;15;0.11;0.64156;0.597
9;16;0.107;0.48463;0.604
9;17;0.106;0.52467;0.612
9;18;0.109;0.91752;0.608
9;19;0.105;0.69921;0.611
9;20;0.107;0.55748;0.617
9;21;0.107;0.83328;0.611
9;22;0.105;0.88566;0.607
9;23;0.106;0.6024;0.613
9;24;0.107;0.67145;0.615
9;25;0.042;0.92733;0.613
