epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;60;0.599;0.001;3e-07;0.99379;-0.009
0;61;0.605;0.001;3e-07;1.01886;-0.007
0;62;0.596;0.0;3e-07;1.42474;-0.007
0;63;0.605;0.0;3e-07;0.74249;-0.006
0;64;0.597;0.001;3e-07;1.05431;-0.003
0;65;0.596;0.0;3e-07;1.05009;-0.008
0;66;0.609;0.0;3e-07;1.39177;-0.007
0;67;0.597;0.001;3e-07;0.88388;-0.009
0;68;0.603;0.001;3e-07;1.14619;-0.015
0;69;0.598;0.0;3e-07;1.25556;-0.014
0;70;0.605;0.001;3e-07;1.23158;-0.012
0;71;0.604;0.001;3e-07;1.00821;-0.009
0;72;0.604;0.0;3e-07;0.99599;-0.006
0;73;0.603;0.0;4e-07;1.11125;-0.003
0;74;0.6;0.0;4e-07;1.11765;-0.003
0;75;0.601;0.0;4e-07;0.96218;0.001
0;76;0.598;0.001;4e-07;0.72379;-0.001
0;77;0.602;0.001;4e-07;1.02455;0.001
0;78;0.6;0.0;4e-07;0.82624;0.003
0;79;0.602;0.0;4e-07;1.30755;-0.001
0;80;0.6;0.0;4e-07;1.14626;-0.001
0;81;0.6;0.0;4e-07;1.31392;-0.0
0;82;0.606;0.001;4e-07;0.8967;0.001
0;83;0.594;0.001;4e-07;0.79299;-0.002
0;84;0.603;0.0;4e-07;1.21297;0.001
0;85;0.6;0.0;4e-07;1.15884;0.001
0;86;0.602;0.0;4e-07;1.16089;0.003
0;87;0.604;0.001;4e-07;1.26469;0.002
0;88;0.599;0.0;4e-07;1.46771;0.001
0;89;0.603;0.001;4e-07;1.14589;-0.001
0;90;0.607;0.001;4e-07;1.11749;-0.004
0;91;0.608;0.0;4e-07;1.08565;-0.005
0;92;0.603;0.001;4e-07;0.98275;-0.006
0;93;0.601;0.001;5e-07;1.108;-0.006
0;94;0.606;0.0;5e-07;1.4267;-0.007
0;95;0.606;0.001;5e-07;1.45338;-0.006
0;96;0.606;0.0;5e-07;1.14211;-0.005
0;97;0.613;0.001;5e-07;0.8927;-0.005
0;98;0.601;0.0;5e-07;1.15399;-0.003
0;99;0.612;0.0;5e-07;1.09696;-0.006
0;100;0.606;0.001;5e-07;0.95127;-0.007
0;101;0.61;0.0;5e-07;0.97093;-0.007
0;102;0.606;0.0;5e-07;1.39943;-0.007
0;103;0.611;0.0;5e-07;1.42775;-0.009
0;104;0.605;0.0;5e-07;1.12941;-0.008
0;105;0.61;0.0;5e-07;0.78855;-0.008
0;106;0.607;0.001;5e-07;1.29035;-0.008
0;107;0.605;0.0;5e-07;1.12397;-0.009
0;108;0.609;0.0;5e-07;1.26249;-0.008
0;109;0.614;0.0;5e-07;1.20952;-0.008
0;110;0.609;0.0;5e-07;1.25309;-0.008
0;111;0.612;0.0;5e-07;0.94697;-0.011
0;112;0.609;0.001;5e-07;1.26518;-0.007
0;113;0.611;0.001;6e-07;1.06429;-0.009
0;114;0.611;0.001;6e-07;0.76545;-0.008
0;115;0.613;0.0;6e-07;1.04849;-0.007
0;116;0.618;0.0;6e-07;1.31689;-0.007
0;117;0.619;0.0;6e-07;1.16974;-0.009
0;118;0.608;0.001;6e-07;1.1342;-0.011
0;119;0.614;0.001;6e-07;1.36565;-0.009
