epoch;batch;time;loss;pearson_correlation
9;5;0.203;0.85554;0.565
9;6;0.2;0.99549;0.519
9;7;0.204;0.51283;0.511
9;8;0.204;0.4547;0.537
9;9;0.201;0.57353;0.538
9;10;0.204;0.43377;0.549
9;11;0.201;0.83611;0.539
9;12;0.204;0.52952;0.546
9;13;0.206;0.50879;0.566
9;14;0.205;0.61458;0.568
9;15;0.205;0.74991;0.568
9;16;0.204;0.63816;0.566
9;17;0.202;0.85546;0.568
9;18;0.202;0.81425;0.567
9;19;0.203;0.71379;0.572
9;20;0.201;0.50533;0.582
9;21;0.204;0.52382;0.581
9;22;0.203;0.82208;0.577
9;23;0.203;0.85944;0.581
9;24;0.203;0.88656;0.577
9;25;0.082;0.58098;0.577
