epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;162;0.615;0.0;8e-07;0.7779;0.066
0;163;0.611;0.0;8e-07;1.15796;0.066
0;164;0.613;0.0;8e-07;1.08161;0.067
0;165;0.615;0.0;8e-07;1.15407;0.067
0;166;0.613;0.0;8e-07;1.03223;0.067
0;167;0.619;0.0;8e-07;1.17871;0.066
0;168;0.615;0.0;8e-07;0.94342;0.068
0;169;0.618;0.0;8e-07;1.10583;0.069
0;170;0.617;0.001;8e-07;1.06478;0.069
0;171;0.614;0.0;8e-07;1.08516;0.068
0;172;0.616;0.001;8e-07;0.75337;0.069
0;173;0.621;0.0;8e-07;1.11085;0.07
0;174;0.62;0.0;9e-07;0.92388;0.071
0;175;0.612;0.001;9e-07;0.94155;0.071
0;176;0.618;0.001;9e-07;0.95083;0.073
0;177;0.61;0.0;9e-07;1.24975;0.072
0;178;0.621;0.0;9e-07;0.94326;0.073
0;179;0.618;0.0;9e-07;1.14116;0.074
0;180;0.624;0.0;9e-07;1.08974;0.073
0;181;0.614;0.0;9e-07;0.63313;0.076
0;182;0.62;0.0;9e-07;1.06041;0.076
0;183;0.614;0.0;9e-07;0.90488;0.077
0;184;0.621;0.0;9e-07;1.01683;0.079
0;185;0.619;0.0;9e-07;0.821;0.079
0;186;0.623;0.0;9e-07;1.42161;0.079
0;187;0.621;0.0;9e-07;1.0087;0.08
0;188;0.624;0.0;9e-07;1.05559;0.08
0;189;0.62;0.0;9e-07;0.88553;0.08
0;190;0.625;0.001;9e-07;0.97289;0.081
0;191;0.621;0.0;9e-07;1.26234;0.081
0;192;0.623;0.0;9e-07;0.90893;0.083
0;193;0.627;0.0;9e-07;1.04715;0.084
0;194;0.63;0.0;1e-06;1.00333;0.085
0;195;0.615;0.0;1e-06;1.09337;0.085
0;196;0.623;0.0;1e-06;1.02959;0.085
0;197;0.619;0.0;1e-06;0.90802;0.086
0;198;0.624;0.001;1e-06;0.86776;0.088
0;199;0.624;0.0;1e-06;0.85682;0.089
0;200;0.624;0.001;1e-06;1.23439;0.088
0;201;0.622;0.0;1e-06;0.92015;0.089
0;202;0.612;0.0;1e-06;1.63928;0.086
1;0;0.352;0.039;1e-06;0.92058;0.191
1;1;0.611;0.001;0.0;0.8942;0.266
1;2;0.633;0.0;0.0;1.0007;0.254
1;3;0.615;0.001;0.0;0.82742;0.28
1;4;0.631;0.0;0.0;1.03273;0.319
1;5;0.625;0.001;0.0;1.0329;0.315
1;6;0.631;0.0;0.0;0.83747;0.316
1;7;0.626;0.001;0.0;0.82432;0.306
1;8;0.631;0.0;0.0;1.14448;0.283
1;9;0.629;0.0;0.0;0.79114;0.292
1;10;0.627;0.001;0.0;0.8096;0.284
1;11;0.629;0.0;1e-07;1.52885;0.239
1;12;0.627;0.0;1e-07;1.20531;0.226
1;13;0.632;0.0;1e-07;0.7283;0.239
1;14;0.628;0.001;1e-07;1.18837;0.235
